indice,titulo,artista,tom,cifra
0,Somos Um,Salzband,D,"Tom: D
[Intro] D  Em  Bm (4x)

[Guitarra 2]

[Primeira Parte]

                D
Nós somos teu povo
                                    Bm
Fomos escolhidos para brilhar a tua luz
            D
Mudar a história em nossos corações
         Bm             D
Arde a chama da tua paixão

[Pré-Refrão]

        A       Bm     G
Um só corpo, um só coração
       A         Bm      G
Um só desejo de ser tuas mãos

[Refrão]

                D
Nada poderá parar
                     A
Pois em ti nós somos um
                  Bm            G
Tua cruz vamos levar por onde for
     D                         A
Cristo Rei, o mundo te conhecerá
      Bm            G     D
Vamos espalhar tua salvação

( D  Em  Bm )2x

[Primeira Parte]

                D
Nós somos teu povo
                                    Bm
Fomos escolhidos para brilhar a tua luz
            D
Mudar a história em nossos corações
         Bm             D
Arde a chama da tua paixão

[Pré-Refrão]

        A       Bm     G
Um só corpo, um só coração
       A         Bm      G
Um só desejo de ser tuas mãos

[Refrão]

                D
Nada poderá parar
                     A
Pois em ti nós somos um
                  Bm            G
Tua cruz vamos levar por onde for
     D                         A
Cristo Rei, o mundo te conhecerá
      Bm            G     D
Vamos espalhar tua salvação

( D  Em  Bm )2x

[Ponte]

  D              Em  Bm
Nós somos teu povo,  eis nos aqui
      D  Em  Bm
Somos um em  ti
      D  Em  Bm
Somos um em  ti

  D              Em  Bm
Nós somos teu povo,  eis nos aqui
      D  Em  Bm
Somos um em  ti
      D  Em  Bm
Somos um em  ti

  D              Em  Bm
Nós somos teu povo,  eis nos aqui
      D  Em  Bm
Somos um em  ti
      D  Em  Bm
Somos um em  ti

[Refrão final]

               D
Nada poderá parar
                     A
Pois em ti nós somos um
                  Bm          G
Tua cruz vamos levar por onde for
     D                         A
Cristo Rei, o mundo te conhecerá
       Bm           G
Vamos espalhar tua salvação"
1,Poder Pra Salvar,Hillsong United (Aline Barros),A,"Tom: E
[Intro] E9/A  E9  E9/C#  E9/B
        E9/A  E2  E9/C#  E9/B

[Primeira Parte]

A2            E                   C#m7
  Todos necessitam de um amor perfeito
   B          A
Perdão e compaixão
            E                    C#m7
Todos necessitam de graça e esperança
      B          A  B  A  B
De um Deus que salva

[Refrão]

E                 B
Cristo move as montanhas
        A           E
E tem poder pra salvar
      C#m7        B4
Tem poder pra salvar
    E                     B
Pra sempre, Autor da salvação
        A         E
Jesus a morte venceu
        C#m7      B
Sobre a morte venceu

( E9/A  E9  E9/C#  E9/B )

[Segunda Parte]

E/A                     E9                E9/C#
   Me aceitas com meus medos, falhas e temores
E2/B         E2/A
Enche meu viver
                 E2
A minha vida entrego
                 E2/C#    E2/B      A  B  A  B
Pra seguir teus passos, a ti me rendo

[Refrão]

E                 B
Cristo move as montanhas
        A           E
E tem poder pra salvar
      C#m7        B
Tem poder pra salvar
    E                     B
Pra sempre, Autor da salvação
        A         E
Jesus a morte venceu
        C#m7      B
Sobre a morte venceu

E                 B
Cristo move as montanhas
        A           E
E tem poder pra salvar
      C#m7        B
Tem poder pra salvar
    E                     B
Pra sempre, Autor da salvação
        A         E
Jesus a morte venceu
        C#m7      B
Sobre a morte venceu

[Ponte] A2  E  B  C#m
        A  E  B  C#m

[Pós - Refrão]

A            E              B
 Possa o mundo ver brilhar a luz
   C#m  A            E            B    C#m  A
Cantamos para a glória do Senhor Jesus Cristo
            E              B
Possa o mundo ver brilhar a luz
   C#m  A            E            B
Cantamos para a glória do Senhor Jesus

[Refrão]

E                 B
Cristo move as montanhas
        A           E
E tem poder pra salvar
      C#m7        B
Tem poder pra salvar
    E                     B
Pra sempre, Autor da salvação
        A         E
Jesus a morte venceu
        C#m7      B4
Sobre a morte venceu

[Refrão Final]

E                 B
Cristo move as montanhas
        A           E
E tem poder pra salvar
      C#m7        B
Tem poder pra salvar
    E                     B
Pra sempre, Autor da salvação
        A         E
Jesus a morte venceu
        C#m7      B
Sobre a morte venceu

[Final]

A            E              B
 Possa o mundo ver brilhar a luz
   C#m  A            E            B    C#m  A
Cantamos para a glória do Senhor Jesus Cristo
Possa o mundo ver brilhar a luz
                                  B    C#m  A
Cantamos para a glória do Senhor Jesus Cristo

            E              B
Possa o mundo ver brilhar a luz
   C#m  A            E            B
Cantamos para a glória do Senhor Jesus Cristo
A            E              B
 Possa o mundo ver brilhar a luz
   C#m  A            E            B
Cantamos para a glória do Senhor Jesus"
2,Clamo Jesus,Paulo César Baruk part. Marcena,E,"Tom: E
[Intro] E  E4  E  E7M
        C#m7  C#m5+  C#m7  C#m7(9)  
        A2  A4+  A2  

[Primeira Parte]

   E          E4           E
Jesus, quero declarar Teu nome
 C#m7       C#m7(5+)    C#m7
Sobre toda mente e coração
      A2
Pois sei que existe 

Paz em Tua presença
        E    E4  E  E7M
Clamo: Jesus

   E          E4           E
Jesus, quero declarar Teu nome
     C#m7            C#m7(5+)  C#m7
Quebrando os vícios dessa geração
    A2
Declaro que há esperança e liberdade
        E    E4  E
Clamo: Jesus

[Refrão]

            B2
Teu nome é cura
   E/G#  A2
É pode__roso
            E   E4  E
Teu nome é vida
           B2
Destrói cadeias
    E/G#     A2
Dissipa as trevas
       E      E4  E  E7M
Vem incendiar

[Segunda Parte]

   E          E4           E   
Jesus, quero declarar Teu nome
 C#m7      C#m7(5+)       C#m7
Sobre toda alma em depressão
   A2
Ansiedade e medo saiam agora
        E    E4  E
Clamo: Jesus

[Refrão]

            B2
Teu nome é cura
   E/G#  A2
É pode__roso
            E   E4  E
Teu nome é vida
           B2
Destrói cadeias
    E/G#     A2
Dissipa as trevas
       E      E4  E
Vem incendiar

            B2
Teu nome é cura
   E/G#  A2
É pode__roso
            E   E4  E
Teu nome é vida
           B2
Destrói cadeias
    E/G#     A2
Dissipa as trevas
          E   E4  E
Vem incendiar

[Terceira Parte]

    E                 E4        E
Declare pelas ruas o nome de Jesus
 C#m7            
Sobre a escuridão
            C#m7(5+)  C#m7
Ele vai trazer a sua luz
 A2
Sobre sua família
                     E
Clame o Santo Nome: Jesus

Oh-oh-oh-oh 

    E                 E4        E
Declare pelas ruas o nome de Jesus
 C#m7            
Sobre a escuridão
            C#m7(5+)  C#m7
Ele vai trazer A sua luz
 A2
Sobre sua família
                     E
Clame o Santo Nome: Jesus

[Refrão]

            B2
Teu nome é cura
   E/G#  A2
É pode__roso
            E   E4  E
Teu nome é vida
           B2
Destrói cadeias
    E/G#     A2
Dissipa as trevas
       E      E4  E
Vem incendiar

            B2
Teu nome é cura
   E/G#  A2
É poder__oso
            E   E4  E
Teu nome é vida

           B2
Destrói cadeias
    E/G#     A2
Dissipa as trevas
       E      E4  E
Vem incendiar

[Segunda Parte]

   E          E4           E    
Jesus, quero declarar Teu nome
 C#m7      C#m7(5+)       C#m7
Sobre toda alma em depressão
   A2
Ansiedade e medo saiam agora
          E  E4  E  E7M
Clamo: Jesus

[Interlúdio] E  E4  E  E7M
             E  E4  E  E7M
             E  E4  E  E7M

[Terceira Parte]

    E                 E4      E
Declare pelas ruas o nome de Jesus
 C#m7            
Sobre a escuridão
            C#m7(5+)  C#m7
Ele vai trazer a sua luz
 A2
Sobre sua família
                     E
Clame o Santo Nome: Jesus

    E                 E4        E
Declare pelas ruas o nome de Jesus
 C#m7            
Sobre a escuridão
            C#m7(5+)  C#m7
Ele vai trazer a sua luz
 A2
Sobre sua família
                         E
Clame o Santo Nome de Jesus

    E                     
Declare pelas ruas 
   E4        D#m7(5-)  G#7(13-)
O nome de Jesus
 C#m7            
Sobre a escuridão
            C#m7(5+)  Bm7  E7
Ele vai trazer a sua luz
 A2
Sobre sua família
  F#m7                 E
Clame o Santo Nome: Jesus"
3,Toda Terra,Gabriela Rocha,E,"Tom: E
[Intro] E

[Primeira Parte]

E
Eu ouvi uma vez
E7M
E li no Teu Livro
A
O que o Senhor fez
 A7M
Faz mais uma vez

  E
Que onde houver dois ou três
 E7M
Juntos em meu nome
A
Ali estarei
 A7M
Faz mais uma vez

[Refrão]

A            B          C#m
  Toda a Terra será cheia
           G#m                A 
Do conhecimento da glória de Deus
           B            C#m
Como as águas cobrem o mar
                  G#m            E
Enche a Terra ao som da Tua Igreja

[Primeira Parte]

E
Eu ouvi uma vez
E7M
E li no Teu Livro
A
O que o Senhor fez
 A7M
Faz mais uma vez

  E 
Que onde houver dois ou três
 E7M
Juntos em meu nome
A
Ali estarei
 A7M
Faz mais uma vez

[Refrão]

A            B          C#m
  Toda a Terra será cheia
           G#m                A 
Do conhecimento da glória de Deus
           B            C#m
Como as águas cobrem o mar
                  G#m            A
Enche a Terra ao som da Tua Igreja

           B          C#m
Toda a Terra será cheia
           G#m                A 
Do conhecimento da glória de Deus
           B            C#m
Como as águas cobrem o mar
                  G#m            A
Enche a Terra ao som da Tua Igreja

( B  G#m  A )

[Segunda Parte]

A                  
  Estamos juntando 
B
  A Terra com os anjos
G#m                  
    Estamos entrando 
A7M
    Na Sala do Trono

A                  
  Estamos juntando 
B
  A Terra com os anjos
G#m                  
    Estamos entrando 
A7M
    Na Sala do Trono

A                  
  Estamos juntando 
B
  A Terra com os anjos
G#m                  
    Estamos entrando 
A7M
    Na Sala do Trono

A                  
  Estamos juntando 
B
  A Terra com os anjos
G#m                  
    Estamos entrando 
A7M
    Na Sala do Trono

[Terceira Parte]

F#m7  G#m
Ale__luia!
A   C#m  B
Alelu___ia!

F#m7  G#m
Ale__luia!
A   C#m  B
Alelu___ia!

[Refrão]

[Refrão]

A            B          C#m
  Toda a Terra será cheia
           Riff              
Do conhecimento da glória de Deus
F#m            G#m          C#m
    Como as águas cobrem o mar
                  G#m            A
Enche a Terra ao som da Tua Igreja

( B  C#m  G#m )
( A  B  C#m  G#m )
( A  B  G#m  A )

[Segunda Parte]

A                  
  Estamos juntando 
B
  A Terra com os anjos
G#m                  
    Estamos entrando 
A7M
    Na Sala do Trono

A                  
  Estamos juntando 
B
  A Terra com os anjos
G#m                  
    Estamos entrando 
A7M
    Na Sala do Trono

[Terceira Parte]

A   G#m
Aleluia!
A   C#m  B
Alelu___ia!

F#m7  G#m
Ale__luia!
A   C#m  B
Alelu___ia!

F#m7  G#m
Ale__luia!
A   C#m  B
Alelu___ia!

F#m7  G#m
Ale__luia!
A   C#m  B
Alelu___ia!

[Solo] F#m  G#m  A  C#m  B 
       F#m  G#m  A  C#m  B 
"
4,Fogo em Teus Olhos,Louvor IIR,Em,"Tom: Em
[Intro] Em  C  Am  C  D

[Primeira Parte]

Em                       C
   Me aproximei, permaneci
                     Am
O teu olhar me consumiu
C       D
Eu sou todo teu

Em                       C
   Me aproximei, permaneci
                     Am
O teu olhar me consumiu
C       D
Eu sou todo teu

[Refrão]

   Em          D
O fogo em teus olhos
 Am              C  D
Fez eu me apaixonar
     Em                   D
Queimou todos os outros amores
     Am                   C    D
Queimou todos os outros amores

[Primeira Parte]

Em                       C
   Me aproximei, permaneci
                     Am
O teu olhar me consumiu
C       D
Eu sou todo teu

Em                       C
   Me aproximei, permaneci
                     A
O teu olhar me consumiu
C       D
Eu sou todo teu

[Refrão]

   Em          D
O fogo em teus olhos
 Am              C  D
Fez eu me apaixonar
     Em                   D
Queimou todos os outros amores
     Am                   C    D
Queimou todos os outros amores

   Em          D
O fogo em teus olhos
 Am              C  D
Fez eu me apaixonar
     Em                   D
Queimou todos os outros amores
     Am                   C    D
Queimou todos os outros amores
     Em                   D
Queimou todos os outros amores
     Am                   B7   D#º  Em
Queimou todos os outros amores

( Em  D  Am  C  D )

[Ponte]

Em
   Eu ainda tenho fome
C
  Eu ainda tenho lenha
Am
   Pode vir queimar
C       D
  Pode me queimar

Em
   Eu ainda tenho fome
C9
   Eu ainda tenho lenha
Am
   Pode vir queimar
C       D
  Pode me queimar

Em
   Eu ainda tenho fome
D
  Eu ainda tenho lenha
Am
   Pode vir queimar
C       D
  Pode me queimar

Em
   Eu ainda tenho fome
D
  Eu ainda tenho lenha
Am
   Pode vir queimar
C       D
  Pode me queimar

[Refrão]

   Em          D
O fogo em teus olhos
 Am              C  D
Fez eu me apaixonar
     Em                   D
Queimou todos os outros amores
     Am                   C    D
Queimou todos os outros amores

   Em          D
O fogo em teus olhos
 Am              C  D
Fez eu me apaixonar
     Em                   D
Queimou todos os outros amores
     Am                   C    D
Queimou todos os outros amores

[Ponte]

Em
   Eu ainda tenho fome
D
  Eu ainda tenho lenha
Am
   Pode vir queimar
C       D
  Pode me queimar

Em
   Eu ainda tenho fome
D
  Eu ainda tenho lenha
Am
   Pode vir queimar
C       D
  Pode me queimar

[Final]

        Em          C
Nos tornamos responsáveis
    Am              C  D
A chama não vai apagar
        Em          C
Nos tornamos responsáveis
    Am              C  D
A chama não vai apagar

        Em          C
Nos tornamos responsáveis
    Am              C  D
A chama não vai apagar
        Em          C
Nos tornamos responsáveis
    Am              C  D  Em
A chama não vai apagar"
5,Que Amor É Esse,Luma Elpidio,G,"Tom: G
[Intro] C9  G 

[Tab - Intro]

Parte 1 de 2

Parte 2 de 2

[Primeira Parte]

             C9
Tu me dás a paz que excede 

Todo entendimento humano
             G
E quando planejo me mostras 

Que é bem melhor o Teu plano
           C9
Com misericórdia me cobres 

Derramando graça em mim
                         G
Eu desconheço um outro amor assim

             C9
E ao meu respeito eu sei 

Que só tens pensamentos de paz
              G
Por Teu sacrifício 

Hoje eu posso andar sem olhar para trás
             C9
Eu não compreendo tamanha bondade 

Que está sobre mim
                         G
Eu desconheço um outro amor assim

[Refrão]

           C9
Que amor é esse? 

Graça incalculável
             G
Não tem interesse

Não quer nada em troca

Tua vontade é boa

Perfeita e agradável
      C9        G
Para mim, para mim

            C9
Quero conhecer-Te

Ouvir Teus segredos
                G
Não importa o preço

Eu me lanço inteiro

Sei que nos Teus braços existe um espaço
      C9        G
Para mim, para mim

[Interlúdio] C9  G 

[Primeira Parte]

             C9
Tu me dás a paz que excede 

Todo entendimento humano
             G
E quando planejo me mostras 

Que é bem melhor o Teu plano
           C9
Com misericórdia me cobres 

Derramando graça em mim
                         G
Eu desconheço um outro amor assim

             C9
E ao meu respeito eu sei 

Que só tens pensamentos de paz
              G
Por Teu sacrifício 

Hoje eu posso andar sem olhar para trás
             C9
Eu não compreendo tamanha bondade 
                Am7
Que está sobre mim
          C9             G
Eu desconheço um outro amor assim

[Refrão]

           C9
Que amor é esse? 

Graça incalculável
             G
Não tem interesse

Não quer nada em troca

Tua vontade é boa

Perfeita e agradável
      C9        G
Para mim, para mim

            C9
Quero conhecer-Te

Ouvir Teus segredos
                G
Não importa o preço

Eu me lanço inteiro

Sei que nos Teus braços existe um espaço
      C9        G
Para mim, para mim

[Segunda Parte]

   C9
E nada vai ocupar Teu lugar em mim
   G
E ninguém pode ocupar meu lugar em Ti
   C9
E nada vai ocupar Teu lugar em mim
                         G
Eu desconheço um outro amor assim

   C9
E nada vai ocupar Teu lugar em mim  
   Em7                              G
E ninguém pode ocupar meu lugar em Ti  
   C9
E nada vai ocupar Teu lugar em mim
                         G
Eu desconheço um outro amor assim

[Refrão Final]

           C9
Que amor é esse? 

Graça incalculável
             G
Não tem interesse

Não quer nada em troca

Tua vontade é boa

Perfeita e agradável
      C9        G   Bm7
Para mim, para mim

            Am7
Quero conhecer-Te
               C9
Ouvir Teus segredos
                Em7
Não importa o preço

Eu me lanço inteiro
           G 
Nos seus braços existe um espaço
      C9        G
Para mim, para mim"
6,Me Atraiu,Gabriela Rocha,G,"Tom: G
[Intro] C7M  D9 Bm7 C7M 

[Primeira Parte]

Eu poderia estar
                   D9
Em qualquer outro lugar
                  Bm7
Mas Tua glória me atraiu
                C7M
Tua presença me atraiu

Tentei me esconder
                 D9
Por medo de não viver
                  Bm7
Mas Tua glória me atraiu
                C7M
Tua presença me atraiu

[Refrão]

         C9
É que a sarça pegou fogo

E não se consumiu
     D 
E a voz que saiu dela

Um dia me atraiu
         Bm7
E o meu coração queimou

Até que descobriu
        Em
Que um dia com Tua glória
      D
Vale mais que mil

         C9
É que a sarça pegou fogo

E não se consumiu
     D 
E a voz que saiu dela

Um dia me atraiu
         Bm7
E o meu coração queimou

Até que descobriu
        Em   
Que um dia com Tua glória
    D
Um dia com Tua glória
      C7M   C7M(5-)  C7M
Vale mais que       mil

[Solo 1] D9  Bm7  C7M

[Primeira Parte]

Eu poderia estar
                   D9(11)
Em qualquer outro lugar
                  Bm7(11)
Mas Tua glória me atraiu
                C7M
Tua presença me atraiu

Tentei me esconder
                 D9(11)
Por medo de não viver
                  Bm7(11)
Mas Tua glória me atraiu
                C7M
Tua presença me atraiu, Deus

[Refrão]

         C9
É que a sarça pegou fogo

E não se consumiu
     D 
E a voz que saiu dela

Um dia me atraiu
         Bm7(11)
E o meu coração queimou

Até que descobriu
        Em
Que um dia com Tua glória
      D
Vale mais que mil

         C9
É que a sarça pegou fogo

E não se consumiu
     D 
E a voz que saiu dela

Um dia me atraiu
         Bm7(11)
E o meu coração queimou

Até que descobriu
        Em   
Que um dia com Tua glória
    D
Um dia com Tua glória
      C7M   C7M(5-)  C7M
Vale mais que       mil

[Solo 2] D9(11)  Bm7(11)  C7M

[Ponte 1]

( D9(11)  Em  G7M )

C7M           D9(11)
Atraído pela Tua presença
 Em                G7M
Não me vejo sem a Tua presença
C7M           D9(11)
Atraído pela Tua presença
 Em                 G7M 
Não me cansarei da Tua presença

C7M           D9(11)
Atraído pela Tua presença
 Em                G7M
Não me vejo sem a Tua presença
C7M           D9(11)
Atraído pela Tua presença
 Em                 G7M 
Não me cansarei da Tua presença

[Refrão]

É que a sarça pegou fogo

E não se consumiu
     D 
E a voz que saiu dela

Um dia me atraiu
         Bm7(11)
E o meu coração queimou

Até que descobriu
        Em
Que um dia com Tua glória
      D
Vale mais que mil

         C9
É que a sarça pegou fogo

E não se consumiu
     D 
E a voz que saiu dela
 
Um dia me atraiu
         Bm7 (11)
E o meu coração queimou

Até que descobriu
        Em   
Que um dia com Tua glória
    D
Um dia com Tua glória
      C7M   C7M(5-)  C7M
Vale mais que       mil

( D9 (11)  Bm7 (11)  C7M )
( C7M  D9 (11)  Bm7 (11)  C7M )

[Ponte 2]

Essa chama não se apaga e não se apagará
       D9 (11)
Essa chama não se apaga e não se apagará
       Bm7 (11)
Essa chama não se apaga e não se apagará
       C7M
Essa chama não se apaga e não se apagará

Essa chama não se apaga e não se apagará
       D9(11)
Essa chama não se apaga e não se apagará
       Bm7(11)
Essa chama não se apaga e não se apagará
       C7M
Essa chama não se apaga e não se apagará

[Final] D9(11)  Bm7(11)  C7M"
7,Canção do Apocalipse,Ministério Avivah,G,"Tom: G
[Intro]  D9  Am7  C9  G

[Primeira Parte]

D9                   Am7
  Digno é o Cordeiro, que foi morto
C9                 G
  Santo, Santo Ele é
D9                Am7
  Um novo cântico, ao que se assenta
C9                  G
  Sobre o trono do céu

[Refrão]

D9
  Santo, Santo, Santo
Am7
  Deus Todo Poderoso
C9                       G
  Que era, e é, e há de vir
D9
  Com a criação eu canto
Am7
  Louvores ao Rei dos reis
C9
  És tudo para mim
  G
E eu Te adorarei

( D9  Am7  C9  G )

[Segunda Parte]

D9             Am7
  Está vestido, do arco-íris
C9                          G
  Sons de trovão, luzes, relâmpagos
D9
  Louvores, honra e glória
Am7
  Força e poder pra sempre
C9                    G
  Ao único Rei eternamente

[Refrão]

D9
  Santo, Santo, Santo
Am7
  Deus Todo Poderoso
C9                       G
  Que era, e é, e há de vir
D9
  Com a criação eu canto
Am7
  Louvores ao Rei dos reis
C9
  És tudo para mim
  G
E eu Te adorarei

[Solo 1]  D9  Am7  C9  G
          D9  Am7  C9  G  D9

Parte 1 de 2

Parte 2 de 2

Parte 3 de 4

Parte 4 de 4

[Ponte]

D9            Am7
  Maravilhado, extasiado
C9                      G
  Eu fico ao ouvir Teu nome

[Solo 2]  Am7  F  C9  G
          Am7  F  C9  G
          Am7  F  C9  G
          Am7  F  C9  G
          Am7  F  C9  G
          Am7  F  C9  G

Parte 1 de 2

Parte 2 de 2

[Ponte]

D9            Am7
  Maravilhado, extasiado
C9                      G
  Eu fico ao ouvir Teu nome
D9
  Jesus, Teu nome é força
Am7
  É fôlego de vida
C9                 G
  Misteriosa água viva

[Refrão]

D9
  Santo, Santo, Santo
Am7
  Deus Todo Poderoso
C9                       G
  Que era, e é, e há de vir
D9
  Com a criação eu canto
Am7
  Louvores ao Rei dos reis
C9
  És tudo para mim
  G           D9
E eu Te adorarei"
8,Digno de Tudo / Te Exaltamos,Emaús Music / Adoração Central,C,"Tom: G
[Intro] C9  D6(11)  C9  D6(11)

[Primeira Parte]

    C 9         D6 
Os santos e os anjos
     C 9               D6
Se prostram aos Teus pés
   C9              D6(11)  G/B
Os anciãos rendem suas  coroas
       C9
Ao cordeiro
    D6(11)  G
E a Ele    cantam

    C9         D11
Os santos e os anjos
     C9               D11
Se prostram aos Teus pés
   C9              D11    G/B
Os anciãos rendem suas coroas
       C9
Ao cordeiro
    D11  G
E a Ele cantam

[Refrão]

                G
Tu és digno de tudo
                D11
Tu és digno de tudo
           G/B    C9
Pois tudo vem de Ti
               D11
E tudo é para Ti
          G
Tua é a glória

                G
Tu és digno de tudo
                D11
Tu és digno de tudo
           G/B    C9
Pois tudo vem de Ti
               D11
E tudo é para Ti
          G
Tua é a glória

[Primeira Parte]

    C9         D
Os santos e os anjos
     C9               D
Se prostram aos Teus pés
   C9              D      G/B
Os anciãos rendem suas coroas
       C9
Ao cordeiro
    D    G
E a Ele cantam

[Refrão]

                G
Tu és digno de tudo
                D11
Tu és digno de tudo
           G/B    C9
Pois tudo vem de Ti
               D11
E tudo é para Ti
          G
Tua é a glória

                G
Tu és digno de tudo
                D11
Tu és digno de tudo
           G/B    C9
Pois tudo vem de Ti
               D11
E tudo é para Ti
          G
Tua é a glória

[Ponte] G  Bm  Em  C 
        G/D  D  Am7  C 
        G  Bm  Em  C 
        G/D  D  Am7  C 
        G  Bm  Em  C 
        G/D  D  Am7  C 

[Segunda Parte]

 G                     Bm7
Dia e noite suba a Ti nossa adoração
 Em7                   C9
Dia e noite suba a Ti nossa adoração

 G/D                      D9
Dia e noite suba a Ti nossa adoração
 Am7                      C9
Dia e noite suba a Ti nossa adoração

 G                     Bm7
Dia e noite suba a Ti nossa adoração
 Em7                   C9
Dia e noite suba a Ti nossa adoração

 G/D                      D9
Dia e noite suba a Ti nossa adoração
 Am7                      C9
Dia e noite suba a Ti nossa adoração

[Refrão 2]

        G
Te exaltamos
        D
Te exaltamos
        C    D
Te exaltamos
      G
Ó Senhor

        G
Te exaltamos
        D
Te exaltamos
        C    D
Te exaltamos
      G
Ó Senhor

[Refrão]

                G
Tu és digno de tudo
                D11
Tu és digno de tudo
           G/B    C9
Pois tudo vem de Ti
               D11
E tudo é para Ti
         G
Tua é a glória

                G
Tu és digno de tudo
                D11
Tu és digno de tudo
           G/B    C9
Pois tudo vem de Ti
               D11
E tudo é para Ti
          G
Tua é a glória

[Refrão 2]

        G
Te exaltamos
        D
Te exaltamos
        C    D
Te exaltamos
      G
Ó Senhor

        G
Te exaltamos
        D
Te exaltamos
        C    D
Te exaltamos
      G
Ó Senhor"
9,Fez Um Caminho,Louvor IIR,C,"Tom: C
[Intro] C  G  F  
        C  G  F  
C   G  F
Por a__mor
C    G     F
Suas mãos marcou
C   G  F
Por a__mor
C   G    F
Me aproximou

( C  G  F  F )

C   G  F
Por a__mor
C  G   F
O véu rasgou
C   G  F
Por a__mor
C  G  F
Me convidoooooou

C       G           F
Fez um caminho para mim
      Fm              C
E ele foi manchado de sangue
     G         F
Como posso ignorar
     Fm
Eu preciso entrar (2x)

( C  G  F  F )  
( C  G  F  F )  

C               G
Eu correrei pra sala do trono
F                  Fm
Eu correrei pelo caminho do Teu sangue  

( C  G  F  F ) 
( C  G  F  F ) 

C
Em Teu sangue há poder
    G
Pra redimir todo o meu ser
F
Em Teu sangue há poder
F
Há poder! Há poder! (4X)

C        G          F
Fez um caminho para mim
      Fm              C
E ele foi manchado de sangue
     D/Gb      F
Como posso ignorar
      Ab
Eu preciso entrar

C       D/F#          F
Fez um caminho para mim
      Fm              C
E ele foi manchado de sangue
     D/F#      F
Como posso ignorar
      Fm          C
Eu preciso entrar

( C  Dm  F  C )

C
Deixa eu te falar
                  Dm
Ainda há lugar na mesa para beber
                    F
Do vinho novo que Jesus deixou pra você
               C
Em teu sangue há poder  6X

C               Dm
Eu correrei pra sala do trono
F                  Fm
Eu correrei pelo caminho do Teu sangue (2x)

C
Deixa eu te falar
                  Dm
Ainda há lugar na mesa para beber
                    F
Do vinho novo que Jesus deixou pra você
                 C
Em teu sangue há poder (2x)

C               Dm
Eu correrei pra sala do trono
F                  Fm
Eu correrei pelo caminho do Teu sangue (4x)

C
Deixa eu te falar
                  Dm
Ainda há lugar na mesa para beber
                     F
Do vinho novo que Jesus deixou pra você
                C
Em teu sangue há poder (4x)"
